4.72,0.09,-9.39,0.01,2.2929341793060303
4.72,0.09,-9.4,0.01,2.312833070755005
4.71,0.09,-9.41,0.01,2.3313071727752686
4.7,0.09,-9.43,0.01,2.3498916625976562
4.69,0.1,-9.44,0.01,2.3689002990722656
4.68,0.09,-9.45,0.01,2.387421131134033
4.68,0.09,-9.46,0.01,2.405421733856201
4.66,0.09,-9.48,0.01,2.4434213638305664
4.66,0.09,-9.47,0.01,2.4500436782836914
4.66,0.09,-9.46,0.01,2.4809181690216064
4.67,0.09,-9.43,0.01,2.4829487800598145
4.68,0.09,-9.41,0.01,2.49992299079895
4.69,0.09,-9.39,0.01,2.5179193019866943
4.69,0.09,-9.37,0.01,2.536926031112671
4.7,0.09,-9.36,0.01,2.554917812347412
4.7,0.09,-9.36,0.01,2.55692195892334
4.69,0.09,-9.36,0.01,2.593440294265747
4.68,0.1,-9.37,0.01,2.5944414138793945
4.68,0.11,-9.38,0.01,2.6124391555786133
4.67,0.11,-9.39,0.01,2.6314473152160645
4.66,0.11,-9.4,0.01,2.649620294570923
4.65,0.09,-9.43,0.01,2.6686208248138428
4.64,0.06,-9.46,0.01,2.6871371269226074
4.62,0.03,-9.49,0.01,2.7061314582824707
4.59,0.01,-9.53,0.01,2.725135564804077
4.56,-0.01,-9.58,0.01,2.7431397438049316
4.37,0.0,-9.81,0.01,2.762164831161499
2.85,0.03,-11.01,0.01,2.7631349563598633
2.09,-0.07,-11.38,0.01,2.781179666519165
1.99,0.01,-11.42,0.01,2.7997374534606934
1.87,0.11,-11.47,0.01,2.8150157928466797
1.72,0.26,-11.51,0.01,2.8367910385131836
1.66,0.31,-11.53,0.01,2.855790376663208
1.6,0.37,-11.54,0.01,2.8748726844787598
1.53,0.45,-11.55,0.01,2.8933913707733154
1.47,0.49,-11.56,0.01,2.9124269485473633
1.43,0.5,-11.56,0.01,2.9308271408081055
1.41,0.52,-11.56,0.01,2.9318313598632812
1.37,0.53,-11.55,0.01,2.949833631515503
1.35,0.54,-11.54,0.01,2.9678783416748047
1.34,0.55,-11.53,0.01,2.9874320030212402
1.32,0.56,-11.53,0.01,3.0054376125335693
1.31,0.57,-11.52,0.01,3.0244367122650146
1.3,0.57,-11.52,0.01,3.043473958969116
1.29,0.56,-11.5,0.01,3.0614709854125977
1.3,0.56,-11.48,0.01,3.0804827213287354
1.47,0.56,-11.42,0.01,3.0995986461639404
1.77,0.55,-11.33,0.01,3.1176388263702393
1.88,0.5,-11.28,0.01,3.1196041107177734
1.95,0.48,-11.25,0.01,3.1365966796875
2.0,0.47,-11.24,0.01,3.155611515045166
2.05,0.44,-11.22,0.01,3.1746084690093994
2.09,0.42,-11.21,0.01,3.1943886280059814
2.12,0.41,-11.2,0.01,3.211564064025879
2.15,0.4,-11.19,0.01,3.2329673767089844
2.17,0.38,-11.18,0.01,3.2500340938568115
2.19,0.36,-11.17,0.01,3.2659313678741455
2.19,0.35,-11.17,0.01,3.2868261337280273
2.19,0.32,-11.17,0.01,3.288830041885376
2.19,0.3,-11.17,0.01,3.3248252868652344
2.19,0.27,-11.17,0.01,3.3258259296417236
2.18,0.23,-11.18,0.01,3.3388235569000244
2.18,0.2,-11.18,0.01,3.361909866333008
2.17,0.18,-11.18,0.01,3.380277395248413
2.17,0.15,-11.18,0.01,3.399799108505249
2.16,0.12,-11.18,0.01,3.4191367626190186
2.15,0.1,-11.18,0.01,3.4371275901794434
2.15,0.08,-11.18,0.01,3.4757652282714844
2.14,0.06,-11.18,0.01,3.4777753353118896
2.14,0.05,-11.19,0.01,3.493276834487915
2.04,0.05,-11.23,0.01,3.4952800273895264
1.4,0.09,-11.42,0.01,3.5122766494750977
1.12,0.1,-11.48,0.01,3.5302743911743164
1.05,0.07,-11.5,0.01,3.549316644668579
1.01,0.06,-11.5,0.01,3.5682811737060547
0.97,0.07,-11.51,0.01,3.586836338043213
0.96,0.1,-11.51,0.01,3.6058366298675537
0.96,0.12,-11.5,0.01,3.6257922649383545
0.95,0.13,-11.49,0.01,3.644763231277466
0.95,0.15,-11.49,0.01,3.661750555038452
0.96,0.17,-11.48,0.01,3.6805295944213867
0.97,0.18,-11.48,0.01,3.699747085571289
0.97,0.19,-11.47,0.01,3.700746536254883
0.99,0.19,-11.47,0.01,3.7187557220458984
1.17,0.21,-11.43,0.01,3.739729642868042
1.32,0.23,-11.4,0.01,3.7561702728271484
1.42,0.2,-11.38,0.01,3.774336576461792
1.49,0.2,-11.37,0.01,3.801128625869751
1.53,0.18,-11.36,0.01,3.8020970821380615
1.56,0.17,-11.35,0.01,3.8500590324401855
1.6,0.15,-11.35,0.01,3.8510618209838867
1.64,0.15,-11.34,0.01,3.8528997898101807
1.67,0.14,-11.33,0.01,3.899104595184326
1.68,0.13,-11.33,0.01,3.9011006355285645
1.7,0.13,-11.32,0.01,3.9467127323150635
1.73,0.13,-11.31,0.01,3.9487123489379883
1.75,0.11,-11.3,0.01,3.949709415435791
1.76,0.11,-11.3,0.01,3.99688982963562
1.77,0.13,-11.3,0.01,3.9978890419006348
1.8,0.15,-11.3,0.01,3.9992122650146484
1.83,0.18,-11.3,0.01,4.045426607131958
1.87,0.21,-11.29,0.01,4.046426057815552
1.91,0.25,-11.29,0.01,4.047434568405151
1.94,0.3,-11.28,0.01,4.093581914901733
1.97,0.34,-11.27,0.01,4.094584703445435
1.98,0.38,-11.27,0.01,4.0955822467803955
2.0,0.42,-11.26,0.01,4.142844200134277
2.01,0.46,-11.25,0.01,4.143841981887817
2.01,0.5,-11.25,0.01,4.144843101501465
